"Government Final Consumption Expenditure, by RegionGrowth Rates"

"Region";"At Current Prices 2000-2001";"At Current Prices 2001-2002";"At Current Prices 2002-2003";"At Current Prices 2003-2004";"At Current Prices 2004-2005";"At Current Prices 2005-2006";"At Current Prices 2006-2007";"At Current Prices 2007-2008";"At Current Prices 2008-2009";"At Current Prices 2009-2010";"At Current Prices 2010-2011";"At Current Prices 2011-2012";"At Current Prices 2012-2013";"At Current Prices 2013-2014";"At Current Prices 2014-2015";"At Current Prices 2015-2016";"At Current Prices 2016-2017";"At Current Prices 2017-2018";"At Current Prices 2018-2019";"At Current Prices 2019-2020";"At Current Prices 2020-2021"
"..National Capital Region (NCR)";8.3;-1.7;4.7;5.0;5.8;9.1;12.5;9.2;16.6;9.9;3.8;19.9;10.3;5.4;6.7;10.9;9.0;17.3;11.3;13.6;10.9
"..Cordillera Administrative Region (CAR)";2.3;4.5;0.9;-1.4;14.3;6.1;3.3;3.4;10.0;10.4;8.7;23.0;4.5;6.9;7.5;9.3;10.2;17.1;7.6;9.2;8.6
"..Region I (Ilocos Region)";1.3;6.6;6.8;0.3;11.9;29.2;2.3;0.8;6.4;12.4;8.1;21.9;6.4;14.3;14.5;15.6;10.5;17.1;8.0;9.6;8.5
"..Region II (Cagayan Valley)";4.2;11.5;7.5;4.6;5.7;17.5;11.2;1.8;15.2;8.4;10.2;10.9;2.9;8.7;9.0;10.3;10.1;18.3;8.6;10.8;15.0
"..Region III (Central Luzon)";2.0;21.1;7.2;19.7;3.8;20.2;21.3;9.1;20.3;11.3;7.7;22.8;12.5;6.8;10.0;12.0;10.9;17.9;10.3;11.2;12.1
"..Region IV-A (CALABARZON)";8.2;15.0;5.9;5.1;19.4;14.1;38.8;0.7;20.3;11.8;7.1;26.4;6.3;11.5;10.5;13.4;11.0;18.3;10.5;12.1;8.3
"..MIMAROPA Region";3.0;7.8;6.8;-9.0;25.2;18.0;21.4;7.0;16.7;8.6;5.1;24.2;3.7;6.0;6.0;11.4;10.8;17.4;4.9;11.6;10.2
"..Region V (Bicol Region)";0.3;3.1;6.7;-5.4;18.4;20.9;20.4;1.3;21.3;10.6;8.2;26.4;5.8;9.4;9.9;8.0;10.1;12.9;14.4;11.0;9.4
"..Region VI (Western Visayas)";7.9;4.2;2.9;-1.9;9.5;18.6;4.1;0.3;20.7;11.5;8.0;21.9;3.6;4.0;13.6;14.6;10.4;23.4;9.0;10.1;9.1
"..Region VII (Central Visayas)";6.8;11.0;1.8;13.7;0.6;17.7;6.3;7.5;13.2;14.4;11.1;28.8;17.3;15.7;16.0;15.7;11.3;19.7;9.7;12.7;9.6
"..Region VIII (Eastern Visayas)";-0.8;7.9;6.7;4.2;0.3;8.4;0.9;9.4;5.4;15.3;36.4;18.4;3.8;3.2;14.8;15.6;10.5;8.2;8.5;11.5;9.1
"..Region IX (Zamboanga Peninsula)";0.5;4.0;3.1;-5.7;14.6;13.8;3.0;2.7;6.7;11.9;11.3;13.6;9.3;5.4;8.4;9.7;11.2;19.8;7.6;14.6;7.3
"..Region X (Northern Mindanao)";7.7;9.9;5.4;7.7;16.5;18.0;9.0;15.6;23.1;10.1;15.3;18.0;9.0;10.0;10.2;11.3;10.4;15.8;20.3;15.1;10.2
"..Region XI (Davao Region)";1.1;4.8;2.2;-3.6;15.9;11.5;1.8;7.9;10.8;10.4;11.3;22.6;12.0;6.1;9.0;14.9;12.1;22.8;10.6;13.9;9.1
"..Region XII (SOCCSKSARGEN)";1.6;1.4;2.6;0.8;0.6;10.4;4.9;0.3;24.3;8.3;-3.1;27.5;8.9;7.0;4.8;11.7;10.9;13.3;6.5;12.1;7.0
"..Region XIII (Caraga)";6.6;5.3;3.6;10.8;1.4;16.2;1.2;8.5;12.6;11.0;3.9;27.0;1.7;4.8;5.5;9.2;11.4;18.1;12.4;11.5;8.8
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";7.1;5.1;13.5;2.7;-1.0;22.7;15.4;11.8;15.6;18.0;36.4;14.2;26.4;6.6;15.4;14.2;9.9;17.5;9.8;13.4;15.9
"Philippines";5.7;3.4;4.9;3.9;7.8;13.2;11.9;6.8;16.2;10.8;7.9;21.1;9.2;7.0;9.1;12.0;10.0;17.3;10.6;12.6;10.3
