Geolocation,Year,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases
PHILIPPINES,2016,12.110578624076757,12417.0
NCR: National Capital Region,2016,17.739571458483585,2318.0
CAR: Cordillera Administrative Region,2016,10.348514988099208,180.0
Region 1: Ilocos Region,2016,11.031909008814496,560.0
Region 2: Cagayan Valley,2016,9.188066847909155,321.0
Region 3: Central Luzon,2016,9.704967247047025,1110.0
Region 4A: CALABARZON,2016,11.043512933323909,1628.0
MIMAROPA: Southwestern Tagalog Region,2016,7.2843871302508285,219.0
Region 5: Bicol Region,2016,8.064076160340429,473.0
Region 6: Western Visayas,2016,7.121843574618853,542.0
Region 7: Central Visayas,2016,10.490490330576916,788.0
Region 8: Eastern Visayas,2016,10.364791736636423,466.0
Region 9: Zamboanga Peninsula,2016,15.90021440701489,582.0
Region 10: Northern Mindanao,2016,16.149133887043956,768.0
Region 11: Davao Region,2016,16.18579032556791,804.0
Region 12: SOCCSKSARGEN,2016,14.08736590493906,651.0
CARAGA: Cordillera Administrative Region,2016,16.137067643618952,424.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2016,15.130509075450632,583.0
PHILIPPINES,2017,8.648427179503965,9009.0
NCR: National Capital Region,2017,11.632285585803938,1543.0
CAR: Cordillera Administrative Region,2017,3.413518786016179,60.0
Region 1: Ilocos Region,2017,6.278587559583212,322.0
Region 2: Cagayan Valley,2017,7.40593543324581,262.0
Region 3: Central Luzon,2017,6.153771259008462,718.0
Region 4A: CALABARZON,2017,9.08832680323905,1371.0
MIMAROPA: Southwestern Tagalog Region,2017,5.309139388505123,162.0
Region 5: Bicol Region,2017,6.972841791777807,414.0
Region 6: Western Visayas,2017,6.229894284286593,479.0
Region 7: Central Visayas,2017,8.150959972103275,622.0
Region 8: Eastern Visayas,2017,8.096341638409923,369.0
Region 9: Zamboanga Peninsula,2017,9.774744929249527,361.0
Region 10: Northern Mindanao,2017,9.138650107405043,441.0
Region 11: Davao Region,2017,14.658054333445778,740.0
Region 12: SOCCSKSARGEN,2017,7.785532820807028,366.0
CARAGA: Cordillera Administrative Region,2017,12.59286770045966,335.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2017,11.289118129179547,444.0
PHILIPPINES,2018,6.502754758679433,6877.0
NCR: National Capital Region,2018,5.448314928360605,733.0
CAR: Cordillera Administrative Region,2018,3.999526816545648,71.0
Region 1: Ilocos Region,2018,4.441517763174411,230.0
Region 2: Cagayan Valley,2018,5.838453619911082,209.0
Region 3: Central Luzon,2018,3.72572162518164,443.0
Region 4A: CALABARZON,2018,6.336361296856646,977.0
MIMAROPA: Southwestern Tagalog Region,2018,5.203019561091367,161.0
Region 5: Bicol Region,2018,6.793264478269795,408.0
Region 6: Western Visayas,2018,5.757417214909315,447.0
Region 7: Central Visayas,2018,9.167184526515564,710.0
Region 8: Eastern Visayas,2018,6.819387757532014,315.0
Region 9: Zamboanga Peninsula,2018,9.101770683706755,339.0
Region 10: Northern Mindanao,2018,7.460380270911957,365.0
Region 11: Davao Region,2018,10.58615315570691,543.0
Region 12: SOCCSKSARGEN,2018,5.609723576684398,268.0
CARAGA: Cordillera Administrative Region,2018,10.623787179540518,286.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2018,9.26620845431921,372.0
PHILIPPINES,2019,5.660457375767967,6073.0
NCR: National Capital Region,2019,4.620971420612041,630.0
CAR: Cordillera Administrative Region,2019,4.799425854730308,86.0
Region 1: Ilocos Region,2019,3.540127827318305,185.0
Region 2: Cagayan Valley,2019,4.613656035090307,167.0
Region 3: Central Luzon,2019,3.5025419037009144,424.0
Region 4A: CALABARZON,2019,5.265941813058049,829.0
MIMAROPA: Southwestern Tagalog Region,2019,4.114172431026218,129.0
Region 5: Bicol Region,2019,4.941201350990332,300.0
Region 6: Western Visayas,2019,5.462051947432089,428.0
Region 7: Central Visayas,2019,7.830797725274223,615.0
Region 8: Eastern Visayas,2019,6.772489847140418,317.0
Region 9: Zamboanga Peninsula,2019,7.671025922474161,288.0
Region 10: Northern Mindanao,2019,7.203013401841994,357.0
Region 11: Davao Region,2019,8.867424517968148,462.0
Region 12: SOCCSKSARGEN,2019,5.2573753244367545,255.0
CARAGA: Cordillera Administrative Region,2019,8.373080985320668,228.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2019,9.102096483686871,373.0
PHILIPPINES,2020,4.753062410982358,5170.0
NCR: National Capital Region,2020,4.766507763757387,658.0
CAR: Cordillera Administrative Region,2020,3.595653794963651,65.0
Region 1: Ilocos Region,2020,2.921753727654987,154.0
Region 2: Cagayan Valley,2020,3.198695588342641,117.0
Region 3: Central Luzon,2020,2.444428238489788,301.0
Region 4A: CALABARZON,2020,3.9919540640054096,641.0
